"path","category","current_role","proposed_role","action","notes"
"milestones/mb_modes.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"milestones/mb_output_paths.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"milestones/mb_search_profile_catalog.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"milestones/mb_search_profile_defaults.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"milestones/milestone_B_inverse_slices.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"milestones/milestone_B_semantic_compare.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"src/analysis/run_mb_stage05_strict_replica.m","code","legacy_mb_code","legacy","keep","MB one-generation implementation surface targeted for legacy consolidation."
"src/analysis\annotate_mb_heatmap_surface_semantics.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\apply_mb_heatmap_aesthetic_overcompute.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\apply_mb_plot_domain_guardrail.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\autotune_mb_passratio_plot_window.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_boundary_hit_table.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_expandable_search_summary_table.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fixed_h_design_table.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fixed_h_frontier_vs_i.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fixed_h_passratio_phasecurve.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fixed_h_passratio_profile_stage05replica.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fixed_h_requirement_surface_iP.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_frontier_candidate_refinement_plan.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_frontier_truncation_diagnostics.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_full_rebuild_closure_summary.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_fullnight_run_summary.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_global_full_dense_ns_grid.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_global_skeleton_heatmap_surface.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_heatmap_edge_truncation_diagnostics.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_heatmap_sidecar_fields.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_heatmap_state_matrix.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_incremental_search_history.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_ns_search_plan.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_passratio_domain_view.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_passratio_saturation_diagnostics.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_passratio_view_sidecar_fields.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_polyline_segments_from_defined_points.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
"src/analysis\build_mb_requirement_surface.m","code","legacy_mb_analysis_helper","legacy","keep","MB-only analysis helper retained for reproduction, not for new feature growth."
